browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,147.0.0.0,1470,956,MacOS,en-US,2026-04-27_17:48:11,2026-04-27_18:48:11,2026-04-22_21:10:27,https://www.testable.org/experiment/20536/669226/start,294.991

rowNo,type,stim1,textColor,condition1,condition2,stimFormat,ITI,key,feedback,keyboard,random,title,content,responseType,head,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"65",test,PEELA,yellow,congruent,latin hindi,word,"800",right,"",left right up down,"7","","","","",801,48,"16.68",262312,right,666,"1",""
"67",test,HARA,green,congruent,latin hindi,word,"800",up,"",left right up down,"7","","","","",800,48,"16.67",263752,up,639,"1",""
"69",test,NEELA,blue,congruent,latin hindi,word,"800",down,"",left right up down,"7","","","","",800,48,"16.67",265000,down,454,"1",""
"66",test,PEELA,blue,incongruent,latin hindi,word,"800",down,"",left right up down,"7","","","","",800,48,"16.67",266450,down,654,"1",""
"64",test,LAAL,green,incongruent,latin hindi,word,"800",up,"",left right up down,"7","","","","",800,48,"16.67",268142,up,897,"1",""
"70",test,NEELA,yellow,incongruent,latin hindi,word,"800",right,"",left right up down,"7","","","","",800,48,"16.68",269571,right,642,"1",""
"71",test,LAAL,red,congruent,latin hindi,word,"800",left,"",left right up down,"8","","","","",800,48,"16.67",271011,left,649,"1",""
"72",test,LAAL,yellow,incongruent,latin hindi,word,"800",right,"",left right up down,"8","","","","",800,48,"16.68",272648,right,836,"1",""
"73",test,PEELA,yellow,congruent,latin hindi,word,"800",right,"",left right up down,"8","","","","",800,48,"16.68",274106,right,661,"1",""
"77",test,NEELA,blue,congruent,latin hindi,word,"800",down,"",left right up down,"8","","","","",800,48,"16.68",275657,down,762,"1",""
"75",test,HARA,green,congruent,latin hindi,word,"800",up,"",left right up down,"8","","","","",800,48,"16.68",277094,up,649,"1",""
"74",test,PEELA,green,incongruent,latin hindi,word,"800",up,"",left right up down,"8","","","","",800,48,"16.67",278600,up,704,"1",""
"76",test,HARA,blue,incongruent,latin hindi,word,"800",down,"",left right up down,"8","","","","",800,48,"16.68",280911,down,1516,"1",""
"78",test,NEELA,red,incongruent,latin hindi,word,"800",left,"",left right up down,"8","","","","",801,48,"16.69",282296,left,584,"1",""
"85",test,NEELA,blue,congruent,latin hindi,word,"800",down,"",left right up down,"9","","","","",800,48,"16.68",283887,down,792,"1",""
"80",test,LAAL,blue,incongruent,latin hindi,word,"800",down,"",left right up down,"9","","","","",800,48,"16.68",285521,down,842,"1",""
"81",test,PEELA,yellow,congruent,latin hindi,word,"800",right,"",left right up down,"9","","","","",801,48,"16.68",286896,right,584,"1",""
"84",test,HARA,yellow,incongruent,latin hindi,word,"800",right,"",left right up down,"9","","","","",800,48,"16.67",288630,right,935,"1",""
"82",test,PEELA,red,incongruent,latin hindi,word,"800",left,"",left right up down,"9","","","","",801,48,"16.68",290148,left,719,"1",""
"83",test,HARA,green,congruent,latin hindi,word,"800",up,"",left right up down,"9","","","","",800,48,"16.67",291895,up,949,"1",""
"86",test,NEELA,green,incongruent,latin hindi,word,"800",up,"",left right up down,"9","","","","",801,48,"16.68",293485,up,789,"1",""
"79",test,LAAL,red,congruent,latin hindi,word,"800",left,"",left right up down,"9","","","","",800,48,"16.68",294991,left,712,"1",""
