browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"150.0",1536,864,Windows,en-US,2026-04-26_14:44:00,2026-04-26_15:44:00,2026-04-22_21:10:27,https://www.testable.org/experiment/20536/669226/start,344.556

rowNo,type,stim1,textColor,condition1,condition2,stimFormat,ITI,key,feedback,keyboard,random,title,content,responseType,head,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"67",test,HARA,green,congruent,latin hindi,word,"800",up,"",left right up down,"7","","","","",800,96,"8.33",298822,up,1450,"1",""
"68",test,HARA,red,incongruent,latin hindi,word,"800",left,"",left right up down,"7","","","","",800,96,"8.33",300579,left,959,"1",""
"66",test,PEELA,blue,incongruent,latin hindi,word,"800",down,"",left right up down,"7","","","","",800,96,"8.33",302509,down,1131,"1",""
"75",test,HARA,green,congruent,latin hindi,word,"800",up,"",left right up down,"8","","","","",800,96,"8.33",304434,up,1130,"1",""
"78",test,NEELA,red,incongruent,latin hindi,word,"800",left,"",left right up down,"8","","","","",800,96,"8.33",306808,left,1580,"1",""
"72",test,LAAL,yellow,incongruent,latin hindi,word,"800",right,"",left right up down,"8","","","","",800,96,"8.33",309038,right,1432,"1",""
"71",test,LAAL,red,congruent,latin hindi,word,"800",left,"",left right up down,"8","","","","",800,96,"8.33",310735,left,898,"1",""
"76",test,HARA,blue,incongruent,latin hindi,word,"800",down,"",left right up down,"8","","","","",800,96,"8.33",314600,down,3065,"1",""
"73",test,PEELA,yellow,congruent,latin hindi,word,"800",right,"",left right up down,"8","","","","",800,96,"8.33",316479,right,1085,"1",""
"74",test,PEELA,green,incongruent,latin hindi,word,"800",up,"",left right up down,"8","","","","",800,96,"8.33",318556,up,1279,"1",""
"77",test,NEELA,blue,congruent,latin hindi,word,"800",down,"",left right up down,"8","","","","",800,96,"8.33",320788,down,1437,"1",""
"82",test,PEELA,red,incongruent,latin hindi,word,"800",left,"",left right up down,"9","","","","",800,96,"8.33",323068,left,1484,"1",""
"84",test,HARA,yellow,incongruent,latin hindi,word,"800",right,"",left right up down,"9","","","","",800,96,"8.33",325546,right,1679,"1",""
"81",test,PEELA,yellow,congruent,latin hindi,word,"800",right,"",left right up down,"9","","","","",800,96,"8.33",329618,right,3276,"1",""
"86",test,NEELA,green,incongruent,latin hindi,word,"800",up,"",left right up down,"9","","","","",800,96,"8.33",332749,up,2331,"1",""
"79",test,LAAL,red,congruent,latin hindi,word,"800",left,"",left right up down,"9","","","","",800,96,"8.33",337148,left,3595,"1",""
"80",test,LAAL,blue,incongruent,latin hindi,word,"800",down,"",left right up down,"9","","","","",800,96,"8.33",341424,down,3476,"1",""
"85",test,NEELA,blue,congruent,latin hindi,word,"800",down,"",left right up down,"9","","","","",800,96,"8.33",342954,down,730,"1",""
"83",test,HARA,green,congruent,latin hindi,word,"800",up,"",left right up down,"9","","","","",800,96,"8.33",344556,up,809,"1",""
